CustomerID,Age,Gender,AnnualIncome,SpendingScore,PurchaseFrequency
86,41,Female,97052,56,18
87,18,Male,64261,86,2
88,25,Male,21542,14,17
89,41,Female,41677,90,11
90,28,Male,66732,28,12
91,34,Female,70343,87,19
92,25,Male,59081,78,7
93,52,Female,82856,88,20
94,52,Female,113105,2,6
95,50,Female,108858,26,1
96,22,Female,39065,14,17
97,59,Female,103460,59,11
98,56,Female,108092,56,18
99,58,Male,74693,7,17
100,45,Male,46962,3,7
101,24,Male,48295,23,17
102,26,Female,33807,18,20
103,25,Female,62348,38,9
104,29,Female,46432,99,17
105,51,Female,103285,15,20
106,50,Male,111792,64,8
107,40,Male,77854,89,17
108,41,Female,60262,28,7
109,54,Male,57080,74,1
110,52,Male,21324,39,13
111,57,Female,111267,57,19
112,39,Male,55909,17,19
113,44,Female,109339,86,17
114,52,Male,39870,90,13
115,18,Female,54578,44,16
116,52,Female,92124,25,8
117,54,Female,46790,17,19
118,31,Female,45289,13,18
119,20,Male,75129,84,1
120,18,Female,113714,25,14
121,22,Female,114246,68,19
122,43,Female,35485,10,15
123,31,Male,64482,67,18
124,56,Female,106188,18,2
125,44,Male,24748,100,17
126,26,Female,106769,86,18
127,32,Male,29435,34,6
128,32,Male,23709,8,19
129,43,Female,50355,40,4
130,59,Male,75771,83,1
131,30,Female,77799,42,8
132,49,Female,33116,41,7
133,56,Female,45470,6,3
134,49,Male,62344,52,10
135,21,Male,62918,26,10
136,47,Female,72224,64,19
137,54,Female,59298,98,14
138,40,Male,100219,59,2
139,56,Female,81629,56,1
140,32,Female,86040,59,18
141,60,Female,119518,70,7
142,46,Male,119835,33,8
143,53,Male,48016,53,1
144,30,Male,43960,22,3
145,49,Female,53591,21,8
146,24,Female,102848,70,15
147,39,Female,87641,70,5
148,45,Male,56395,4,3
149,19,Female,42700,94,19
150,59,Female,54620,75,1
151,23,Female,40559,62,15
152,45,Female,113045,62,8
153,45,Male,113396,94,2
154,37,Male,81642,95,3
155,47,Female,96539,24,14
156,28,Male,41732,55,14
157,45,Male,111362,9,11
158,42,Female,50354,3,16
159,56,Female,33843,31,4
160,50,Male,91726,40,20
161,18,Female,37640,36,5
162,44,Male,72528,24,14
163,30,Female,58413,95,16
164,58,Male,72638,6,18
165,20,Female,72736,66,7
166,56,Male,88866,84,10
167,23,Male,39087,92,7
168,25,Male,61430,75,1
169,44,Female,44504,4,19
170,26,Male,27114,79,16
171,54,Male,98859,6,19
172,50,Female,119657,94,4
173,59,Female,30975,51,18
174,41,Male,31023,62,2
175,32,Male,41447,57,1
176,49,Female,110469,66,15
177,49,Female,43959,79,5
178,41,Female,86203,75,20
179,58,Female,49703,8,11
180,29,Female,29337,26,10
181,56,Male,66427,51,2
182,19,Female,81529,45,3
183,20,Male,104665,44,12
184,54,Male,51921,5,20
185,34,Male,53307,70,5
186,19,Female,47355,26,5
187,19,Male,24835,68,6
188,45,Male,40159,19,9
189,40,Female,67605,84,2
190,54,Male,58088,97,12
191,49,Male,98752,20,3
192,50,Female,75284,12,20
193,18,Male,77043,47,12
194,36,Male,55547,1,17
195,19,Male,117007,90,10
196,43,Female,102844,14,14
197,49,Female,47532,64,17
198,23,Female,54349,38,18
199,49,Male,65445,37,19
200,21,Male,25713,11,17
201,28,Female,76178,100,14
202,34,Male,69407,77,9
203,55,Male,90340,3,8
204,41,Female,70990,33,2
205,22,Female,95672,6,13
206,51,Male,85545,50,7
207,23,Male,104791,10,9
208,39,Male,78141,5,11
209,28,Female,43793,23,14
210,33,Female,76570,10,4
211,50,Female,115084,44,13
212,26,Female,57892,2,2
213,23,Male,21015,13,5
214,33,Female,81813,40,11
215,46,Female,47712,2,6
216,20,Female,28415,84,18
217,37,Female,82292,65,10
218,53,Female,43833,63,4
219,36,Male,24158,73,9
220,43,Male,82680,17,6
221,20,Female,40309,9,2
222,36,Male,26970,75,17
223,37,Female,92474,15,5
224,49,Female,106704,24,6
225,24,Male,66540,38,12
226,58,Male,40384,35,10
227,50,Female,38017,94,6
228,57,Female,95880,95,8
229,56,Female,28702,49,2
230,35,Male,20384,69,12
231,57,Female,20404,62,13
232,18,Female,60943,60,7
233,28,Female,67926,50,10
234,45,Male,49189,78,13
235,42,Female,32763,75,17
236,40,Female,38384,9,14
237,48,Male,80100,34,2
238,47,Female,118142,76,11
239,59,Female,29860,99,1
240,52,Male,100642,35,19
241,24,Female,70612,1,4
242,33,Male,43574,40,19
243,43,Male,43524,64,11
244,19,Female,89172,22,8
245,18,Female,30916,60,11
246,29,Female,24809,64,4
247,22,Female,52201,93,17
248,54,Male,73330,72,7
249,49,Female,33456,11,8
250,26,Male,76397,14,3
251,58,Female,58765,60,2
252,52,Female,54816,30,15
253,36,Female,65106,35,5
254,33,Male,73932,85,1
255,20,Female,37100,37,4
256,37,Female,77091,5,15
257,41,Female,41949,83,20
258,50,Female,90080,78,19
259,41,Male,57744,26,3
260,28,Female,65543,62,20
261,25,Male,112193,4,11
262,53,Male,56187,89,17
263,55,Male,27239,42,13
264,57,Male,34489,89,11
265,37,Male,78017,18,2
266,52,Male,81877,40,9
267,42,Female,63125,72,2
268,52,Male,69922,39,9
269,42,Male,114074,14,9
270,46,Male,52049,32,8
271,35,Female,57131,51,17
272,35,Female,62944,38,1
273,19,Male,93963,97,11
274,52,Female,44285,23,8
275,33,Male,57626,63,10
276,58,Male,62808,15,7
277,53,Female,108464,97,3
278,50,Male,73871,25,3
279,21,Female,39198,17,18
280,50,Female,39758,97,5
281,31,Male,35254,66,12
282,38,Male,64238,78,12
283,37,Female,21252,53,19
284,25,Male,59764,51,6
285,24,Male,97709,39,2
286,20,Male,57441,51,12
287,34,Female,112234,70,19
288,50,Female,73682,6,5
289,29,Male,79494,67,12
290,39,Female,101317,7,17
291,39,Female,85215,51,17
292,47,Female,98587,72,10
293,55,Female,26949,42,17
294,55,Female,75393,64,15
295,25,Male,93553,15,12
296,44,Male,26941,29,16
297,44,Male,45934,33,19
298,51,Female,43386,94,8
299,38,Female,81886,27,17
300,47,Male,95745,36,5
